src,dest,track_id
/Users/sztuka/Music Unsorted/Bastille/Bastille - Pompeii (Merchant vs Vidojean & Oliver Loenn City Boys Edit) [6B 116].mp3,/Users/sztuka/Music Library/Bastille/Bastille - Pompeii (Merchant vs Vidojean & Oliver Loenn City Boys Edit) [6B 116].mp3,02a153a1-e193-5414-aa19-4ff4dd5031f2
/Users/sztuka/Music Unsorted/Bon Jovi/Bon Jovi - It's My Life [5A 120].flac,/Users/sztuka/Music Library/Bon Jovi/Bon Jovi - It's My Life [5A 120].flac,d170e8e6-f013-59d5-9630-7bfc2fcaa099
/Users/sztuka/Music Unsorted/AC-DC/AC-DC - T.N.T. [12B 128].mp3,/Users/sztuka/Music Library/AC-DC/AC-DC - T.N.T. [12B 128].mp3,ef9232d6-15c1-5531-b2e3-6655a1339c78
