track_id,old_path,new_path,rekordbox_id,traktor_id
rb_248923232,/Users/sztuka/Desktop/80s mix/Company B - Fascinated.mp3,/Users/sztuka/Music Library/Various Artists/Company B - Fascinated.mp3,248923232,
rb_47803291,/Users/sztuka/Desktop/80s mix/Midnight Star - Midas Touch.mp3,/Users/sztuka/Music Archive/Various Artists/Midnight Star - Midas Touch.mp3,47803291,
rb_106184703,/Users/sztuka/Desktop/80s mix/Chaka Khan - I Feel for You.mp3,/Users/sztuka/Music Archive/Various Artists/Chaka Khan - I Feel for You.mp3,106184703,
tr_41099856,/Users/sztuka/Music Unsorted/Stefano_Noferini-The_End_Club_Mix(www.mp3vip.org).mp3,/Users/sztuka/Music Library/Various Artists/Stefano_Noferini-The_End_Club_Mix(www.mp3vip.org).mp3,9443546,AWmf////////////Vv/////////////8/////////////7/////////////duXiIh4iImamZmZmYRmn/////////////7///////////tmVv/////////////+//////////+4h3h3ZX6rzLiIaLi//tnP7e2s7u7L3u7sz////eupmYiYiZmZupmJpWaP/////////////////////////HZ3//////////////3//////////8Znf//////////////P//////////xVmu/////////////4///////////1RWj/////////////av/////////////2MyEAAAAA==
tr_-7912759,/Users/sztuka/Music Unsorted/11.Pocahontas - kolorowy wiatr.mp3,/Users/sztuka/Music Archive/Various Artists/11.Pocahontas - kolorowy wiatr.mp3,25701366,ANYBERIiIxISEiNEMyI0MyMiIiMyIhEhMyECNEREZVZCEBMyIhJFRVQzMyMzMiNDIhEyIiMiEBIjMjVlIzIiIiEBMiRDRVRFVVREMiJEVDVXU0QzREMyRWVWRFRHiYd2eJdYl2VohkVXeGZ3VFVURFRnZGV3eIeImpmYh2ZXU1ZUQ0Q0Z3ZWU0OHd2Z3V3V2Z1NGZ5h2dlemZnd3dod5l4h4mIdmh2eHdnh4d3rbqpmYhlZmV4l3iKmrqrmamaqHm5mZjLh6mIp3h1NFZGZlmWRVeHVniYiaqamqZXYyMQMyIiEAFEMzIjIiEBESIiIiEREQAAAAAAAAAAARAAAAAA==
