track_id,old_path,new_path,rekordbox_id,traktor_id
test_248923232,/Users/sztuka/Desktop/80s mix/Company B - Fascinated.mp3,/Users/sztuka/Music Library/Test Artist/Company B - Fascinated.mp3,248923232,
test_47803291,/Users/sztuka/Desktop/80s mix/Midnight Star - Midas Touch.mp3,/Users/sztuka/Music Library/Test Artist/Midnight Star - Midas Touch.mp3,47803291,
test_106184703,/Users/sztuka/Desktop/80s mix/Chaka Khan - I Feel for You.mp3,/Users/sztuka/Music Library/Test Artist/Chaka Khan - I Feel for You.mp3,106184703,
test_173446788,/Users/sztuka/Desktop/80s mix/Shannon - let the music play.mp3,/Users/sztuka/Music Library/Test Artist/Shannon - let the music play.mp3,173446788,
test_256964217,/Users/sztuka/Desktop/80s mix/blondie - rapture.mp3,/Users/sztuka/Music Library/Test Artist/blondie - rapture.mp3,256964217,
