external_source,external_track_id,track_id,old_full_path,artist,title,bpm,key,cue_count,snapshot_date
traktor,ATEDMyIiIiMyIjIiRDMzMjIzNDIiMiNncjZCIjISMiNWY3RUIiIiIjaHMlhTIiIiMjZlNHRTIiIjVYZVM0VYdnVWVmaEM3iUSXdTIRWaq5ZXmZmGREeZu6ZYipmWRrqry3V5qpl1RWmrunZoqZdkRndniYmoeIjMqaeIu4u6qVjJm6iqu5qqmozLu6mZyZq5pnyoeXZ6zN3Lq6uHepqbzN3Lqrt2moe8t3mYesuZqs3vy7y7zL3Miazd66isyrq8uXmpmYVFiJqXVFqpq6RXmqqXaKqKrJq6msvtzLqqzbvMymrO3cqr3u/d7r3t65l6uqrKpWqXYyEQeZh1MRAAAA==,c35d07bb-fa8f-566f-a642-786942732ade,/Users/sztuka/Music Library/Edyta Bartosiewicz/Edyta Bartosiewicz - Zatańcz ze mną [7B 136].mp3,,,135.360550,5,1,2025-12-02T00:27:47.254404+00:00
traktor,ANYBERIiIxISEiNEMyI0MyMiIiMyIhEhMyECNEREZVZCEBMyIhJFRVQzMyMzMiNDIhEyIiMiEBIjMjVlIzIiIiEBMiRDRVRFVVREMiJEVDVXU0QzREMyRWVWRFRHiYd2eJdYl2VohkVXeGZ3VFVURFRnZGV3eIeImpmYh2ZXU1ZUQ0Q0Z3ZWU0OHd2Z3V3V2Z1NGZ5h2dlemZnd3dod5l4h4mIdmh2eHdnh4d3rbqpmYhlZmV4l3iKmrqrmamaqHm5mZjLh6mIp3h1NFZGZlmWRVeHVniYiaqamqZXYyMQMyIiEAFEMzIjIiEBESIiIiEREQAAAAAAAAAAARAAAAAA==,c2dab055-8467-50a5-ada7-7114171436a8,/Users/sztuka/Music Library/Edyta Górniak/Edyta Górniak - Kolorowy Wiatr [3A 100].mp3,,,110.152557,22,1,2025-12-02T00:27:47.254404+00:00
traktor,ARUDMzNEVXiIiHZEMhJFRVZmQyI0REQzMzMiNEMzNERUNFVVRDREQ0MzMzREMyN4iHd4eIh3d4d3Z3d2d4dniIiIiYdXiHV4iYiIiJmYiIiHeYiWIiIyNod4eFJTRCUld2ZmdmY0UlJEJod3d3d3d3iHd3d3eId3d3d4Z3dmd3dnh4iIiYdWiGV5mYiIiJiIh4iIiYiFIiESV3eHdSUzQlJHd2ZnZnM1JTNCZ3d3d3d3d4h3Znd2eHeHd3eGd3dnd4d4eIiImHVoh2eZmIiIiYiIeIiImIhSIiIkVniIiIiIQzMiIkeIiImIljQ0RERXiIiJiIM3d1RGqYUBhwAAAA==,cf9f3c33-88b7-50ea-9544-a990570d5488,/Users/sztuka/Music Library/Goran Bregovic/Goran Bregovic - Kalasnjikov [2B 90].mp3,,,90.061958,6,1,2025-12-02T00:27:47.254404+00:00
traktor,AWUXZ3d2d2d3dndoeIeHeHd2h3h3hod8//7////+///////////////+/+24////////////+5z//////////////////////////bn//////////////7q7u6u7zM3NzNzf7+3czczv/szMzO/u/+3/3u7e/O/tqZmZmZmqu6vLuX////////////+77//////////////////////////7vMzczMzMzMzMzMvu7u7t7d7d3My7uqqZiIiHj//////////////////////////7v///////////////////////////qv////////////me/////////////+EAAA==,6160b99d-1a7f-5072-834f-8a31801ec718,/Users/sztuka/Music Library/Jewel Kid/Jewel Kid - Back In 95 (Extended Mix) [4A 128].mp3,,,128.000107,17,1,2025-12-02T00:27:47.254404+00:00
traktor,ARQEq7mYmZN4ZFVVVVVVapdlh5h1d4mGaHmKiJqqqrq6q7q6qququszu7szt7t3v/tze7u7N3+3M3u3d3f3cze7dlmnLu7zMzMvcu7vNvMzPyrvN3MmIvcy8zd3czd3MzN7c3dmHeMuqupzKqqu7uu/+3M3e3c3/7czd7tzd7tzN7+3N3+3M3t3d//7+///e3u///////u3+26m83d7e3bms3d3czbzM3N3czt7czN7c3dqpqZu7qpvMzM3czc393dze3d3Nh5mqme/dvd7uzN/t293d7M3/28zNzMy+/LzM3Mze79zMzs3e7dvMy9zt3e2HVXaIVGeIdFdodUZiAA==,d490a40f-7e04-593f-9edc-4a0b80f3e502,/Users/sztuka/Music Library/John Scatman/John Scatman - Scatman [5B 136].mp3,,,135.983185,3,1,2025-12-02T00:27:47.254404+00:00
traktor,ALEAAAAAASIiGHM1V4mFaKmHmMiYqZaojKeZq7immsqZy3upisy7vJzde6u9nIqc3N64vbmry6inmqmp2pq4p6aKy7mqiqqYqXh7uFuLm5t5eZmHrq2rzM3Jm5nL6qzcu7ecvNrJiZm5qahsuJ3NqZmIdygneGdWd2d3h3ZmdXZ3dHR3eIaWd4mGeIiGZ2mYZmmaeIhneFiJqZp4qXd5q5iXmMipp3q3iKqWhXmJmap5mJp3aaqZimmKh3qHaZdZmoh4mYeJh3qZqau5qIqYqamIqZmneqmqilh4mXh4Sahrmoh5mohFVHqYqqqpl4qYmah4ppZVVIURERAAAAAAAA==,563deccc-1ac0-559d-8beb-9839f572adcc,/Users/sztuka/Music Library/Krzysztof Krawczyk/Krzysztof Krawczyk - Parostatek [8A 167].mp3,,,83.726738,21,1,2025-12-02T00:27:47.254404+00:00
traktor,AU8AARERERRVREREVTNERERDNEQ0RDNENFVERVVlVVRVVVZWVUVGVEVERVVUVUVURFVGVlVWVlVmVVZVZVZjQyEREQEQABABEQEREREREREREiIyIiIiIiIiEREiIiIiMjMzMzM0QzMzMzMzMzIRESIjMzIiIzMzMzMzMzMiEiRCIiIhIhEjVDIzIjIzVUVnM2cyWEJYU0hiNnWJh2d3Z5h4l3mZeIh5mHiIeJiJmIi6iZmZp3iHimUyIREiIREAABAAIiEWUzIjMzM0NENoh4d4d4d4mHiYeId4mHiYd4h5iIh4iHeImHdnZ4d3h3dndmZ3h4h3dUIhEQAAAAAAAA==,89e4f22e-e9b0-5958-ba28-ce70f0ff1201,/Users/sztuka/Music Library/Led Zeppelin/Led Zeppelin - Whole Lotta Love [9A 176].flac,,,176.000000,16,1,2025-12-02T00:27:47.254404+00:00
traktor,AIUAI0REVUVFVVVFVERVVmZWVlZmRURVRERniHh2ZkVERFRDV2RVQ0REZkVURFVVVVVERERmZFVEVFZnZ3ZXV4d2dlRERERmd1VGZmRnZ3h2ZzSHVWVVVVZ3V2RFRnZlZkRlZmZmZURERERWY0RVVDVlVoVVZUiYV3ZmZneGZ1VVVnd2ZlVleHdmVWmId3VWVmVXZmVmVlVVVmdmZmVWZ2d3ZlVVZmZmeHdmZWVmZTWHRWVGVVZ2ZlVWZXdmVUVVVWdmZUVVd4hmVVZXd3dlVVVFRFZERVZVZFZ1VniGNYZWZlZVVnZmVFVWZ3ZmVnV4dlZVVWVmZVVUQyIQAAAAAA==,65a41fcc-7771-5f64-9e42-119884ebde0b,/Users/sztuka/Music Library/Little Richard/Little Richard - Good Golly Miss Molly [9B 162].mp3,,,80.631836,7,1,2025-12-02T00:27:47.254404+00:00
traktor,AOoDREM0REZmZneMv////+//////7//+///v//7//u//7M3dzMzc7f/f///////////////////////////////////////////////////////////////////////////97/zv7c7e7P////////////////28vNvLzLy83Lz/y+7rvt673/3f7////+//////7//+///v///////////////////////////////////uzN3cy87e3tz+xlQzn///////////////////////////7u/u7d7u7v///v//////////////////////////yqqIqoWqu3/+9QAAAA==,ad40b090-9e3d-59c6-9c7f-f11aa63d33c4,/Users/sztuka/Music Library/Los Del Rio/Los Del Rio - Macarena (Mezcla Guerrillera) [5B 103].mp3,,,103.166725,3,1,2025-12-02T00:27:47.254404+00:00
traktor,AMIG3dy6zLzN3N3d3d7Nzdze2b7//e7c7/3v/f/u7f/s//7e7//+vf683/7//f7////s7//v/u7v///f///+/+//7u/v/+7f/s7/7e7v//7f/+7////u3////u/////v/////rvP3+7tve7e/93u/e/bzMze7Yzv7e////3u////3O/////+/+/+3O7d/v/////v/v/u/v/u///v///Zzurv79zd/+7+3e7c39vM7s7/3e/s793u697tzcy73bu7ys3MzNzK3Mzcy77NvLuq3Lu8y73Mutu7/v7uzf////3d//7v/u///u/+/////+////7//+2qy5NaZYVc0wAAAA==,5db355d3-6347-5f1c-9597-c6d2576cf6e7,/Users/sztuka/Music Library/Maanam/Maanam - Nie poganiaj mnie bo tracę oddech [9B 139].mp3,,,139.204407,7,1,2025-12-02T00:27:47.254404+00:00
